"","TO","TTO","CW","SD","SR","CR"
"VaR_10",2.80023253299004,2.79016606769781,9.6455492225235,0.0522219013360555,0.0619022747943375,1.41699088415366
"VaR_05",3.01266337311952,2.9974425705148,6.63646595296096,0.0483875912744196,0.0561919271849314,1.2777597624734
"VaR_01",3.13062507591675,3.02481581611734,4.38794374253983,0.0549206325133019,0.0465573610022632,1.1023887663563
"ES_10",1.27703876116766,0.827902951563368,5.60225647647972,0.0454049576919539,0.053382086778113,1.15371092847817
"ES_05",1.3745100699698,0.904442312325469,6.62624330826283,0.047841781098694,0.0551434306598518,1.2547753880404
"ES_01",1.96564064147441,1.39795726238821,11.2037746944143,0.061213089139825,0.0571916026649564,1.64671496743585
