"","TO","TTO","CW","SD","SR","CR"
"PWR_01",1.453745300006,1.29112120799645,35.5660137188372,0.104023726861431,0.0573375092009024,2.7290483238757
"PWR_03",2.49352338364877,2.20584971392846,13.9268215678688,0.0712922431770051,0.0567004454438482,1.89419129636115
"PWR_05",2.99040707818065,2.79541990025077,8.65114422862809,0.0542016293832197,0.0572063553984696,1.43891691645815
"PWR_07",2.08706558241085,2.00584516817674,18.1807473813468,0.062882146199679,0.0648466261359477,1.86304890008512
"PWR_09",3.45219241277832,3.59466833209788,5.89802169004663,0.0692736064432503,0.0534879226774933,1.48528408757156
