"","TO","TTO","CW","SD","SR","CR"
"Naive",4.95116341484982,0,4.81949974897534,0.0487020087695802,0.0515566538618733,1.09718952454319
"MinVar",6.35324365213465,5.10779967895587,5.10939071136074,0.0396766596293365,0.0540888796763038,1.03547110630548
"CRIX",0,0,3.266629418782,0.0427188877146938,0.054057145642824,1.0903683235099
"VaR_05",23.2027890544856,22.210365442622,5.30993031529464,0.0433210734226647,0.0537429277568857,1.10900247941555
"ES_05",4.91730483995566,4.28898636188253,4.629764099251,0.0438066052859826,0.0498191987573911,1.03449435577261
"EXP_25",4.69204938877138,3.81730608199169,4.45513312203551,0.0435003790099801,0.049230635153896,1.01326966292637
"PWR_01",8.37843570173965,7.03372169112411,30.7839226285986,0.117467746950251,0.0515417107747099,2.82021947303056
"PWR_15",6.96213662807559,6.28260072144804,3.64332747020649,0.0417592904024776,0.0461872521626927,0.914147701651106
