date;CRIX
16.3.2018;1000
19.3.2018;948,96
20.3.2018;1019,95
21.3.2018;1009,04
22.3.2018;971,03
23.3.2018;966,08
26.3.2018;880,34
27.3.2018;871,5
28.3.2018;866,79
29.3.2018;798
30.3.2018;743,5
2.4.2018;756,79
3.4.2018;812,9
4.4.2018;747,36
5.4.2018;737,85
6.4.2018;720,03
9.4.2018;735,15
10.4.2018;758,44
11.4.2018;775,33
12.4.2018;863,03
13.4.2018;927,77
16.4.2018;917,17
17.4.2018;916,45
18.4.2018;956,58
19.4.2018;996,71
20.4.2018;1062,34
23.4.2018;1113,65
24.4.2018;1216,22
25.4.2018;1123,98
26.4.2018;1115,16
27.4.2018;1154,2
30.4.2018;1193,32
1.5.2018;1150,54
2.5.2018;1184,12
3.5.2018;1259,65
4.5.2018;1266,65
7.5.2018;1239,89
8.5.2018;1214,74
9.5.2018;1217,53
10.5.2018;1187,95
11.5.2018;1105,15
14.5.2018;1141,38
15.5.2018;1102,71
16.5.2018;1063,62
17.5.2018;1049,4
18.5.2018;1056,67
21.5.2018;1071,84
22.5.2018;1036,64
23.5.2018;941,04
24.5.2018;952,61
25.5.2018;928,33
28.5.2018;882,13
29.5.2018;925,08
30.5.2018;900,91
31.5.2018;939,49
1.6.2018;928,38
4.6.2018;953,26
5.6.2018;975,63
6.6.2018;958,44
7.6.2018;978,95
8.6.2018;967,93
11.6.2018;833,76
12.6.2018;794,17
13.6.2018;761,14
14.6.2018;823,16
15.6.2018;801,93
18.6.2018;817,84
19.6.2018;832,05
20.6.2018;828,53
21.6.2018;818,11
22.6.2018;744,79
25.6.2018;735,83
26.6.2018;714,72
27.6.2018;711,16
28.6.2018;704,44
29.6.2018;672,27
2.7.2018;774,78
3.7.2018;769,18
4.7.2018;780,51
5.7.2018;755,76
6.7.2018;759,54
9.7.2018;770,14
10.7.2018;722,19
11.7.2018;717,79
12.7.2018;700,51
13.7.2018;702,06
16.7.2018;773,18
17.7.2018;833,14
18.7.2018;829,86
19.7.2018;821,36
20.7.2018;794,36
23.7.2018;823,45
24.7.2018;873,89
25.7.2018;867,08
26.7.2018;874,61
27.7.2018;865,06
30.7.2018;847,55
31.7.2018;809,61
1.8.2018;790,65
2.8.2018;779,81
3.8.2018;771,5
6.8.2018;734,98
7.8.2018;731,15
8.8.2018;656,47
9.8.2018;667,11
10.8.2018;655,89
13.8.2018;603,79
14.8.2018;574,14
15.8.2018;609,62
16.8.2018;616,58
17.8.2018;635,31
20.8.2018;622,01
21.8.2018;613,72
22.8.2018;607,98
23.8.2018;608,76
24.8.2018;627,11
27.8.2018;638,41
28.8.2018;678,12
29.8.2018;666,27
30.8.2018;643,4
