"","TO","TTO","CW","SD","SR","CR"
"PWR_1_5",19.7549649831597,20.272774906515,3.45563209101998,0.0479497452533747,0.0432975521679222,0.95564876605224
"PWR_3",16.7562752675318,17.3793738015131,2.82616950486824,0.0394845641570734,0.0418976787181231,0.783651376373252
"PWR_5",6.54943543582716,6.4898101173087,3.2879863908598,0.0389548969936904,0.0449652617218954,0.832955736137481
"PWR_10",6.90736345515787,6.38469276482323,3.53726952961048,0.0398369896042132,0.0462402588392118,0.867217767458875
"PWR_15",6.96213662807559,6.28260072144804,3.64332747020649,0.0417592904024776,0.0461872521626927,0.914147701651106
