"","TO","TTO","CW","SD","SR","CR"
"PWR_1_5",80.3406384134154,80.3937641365412,4.82950935555036,0.0454696513885155,0.0501463096530449,1.04880258759813
"PWR_3",77.3311602258301,75.8724362250281,4.03092648855765,0.0394642616346857,0.0490372502014883,0.932365343506635
"PWR_5",30.302710425115,29.1677421325953,2.92425236123894,0.0391532487344028,0.0420895041641708,0.790415455088318
"PWR_10",32.2382615294181,30.3357141524425,3.83126209252157,0.0401825059183806,0.0472818013123845,0.904116141110425
"PWR_15",17.8038729276965,16.0298075915414,3.40808402637331,0.0408596809190451,0.0445464998824748,0.858240600271186
